Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Censored.Data,Enum.Stats,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Fallacara et al.,2004,Fallacara et al. 2004,yes,review,"USA, Ohio, Columbus Zoo",yes,North America,"Culture, Subculture, confirm latex agglutination",Conventional,NA,NA,NA,swab,Animal,Bird,Anseriformes,Anatidae,Anas,Mallard,,,free,Campylobacter jejuni,Campylobacter jejuni,feces,yes,no,,,ND,100,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
French et al.,2009,French et al. 2009,yes,review,"New Zealand, North, Palmerston",no,Western Pacific,"PCR, Culture broth, Plate Isolate",Molecular,NA,NA,NA,swab variable,Animal,Bird,Passeriformes,,,,"Multiple types (Sturnus vulgaris, Passer domesticus, Hirundo tahitica, Turdus merula, Gymnorhina tibicen, Turdus philomelos, Prosthemadera novaeseelandiae, Fringilla coelebs, Carduelis carduelis)","Multiple types (European starling, house sparrow, welcome swallow, blackbird, Australian magpie, song thrush, tui, chaffinch, and goldfinch)",free,Campylobacter jejuni,Campylobacter jejuni,feces ,yes,no,,,24,192,,NA,,NA,,NA,,,,,,contains detailed genetic information,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Hellein et al.,2011,Hellein et al. 2011,yes,Google Scholar,"USA, Florida, Pensacola",yes,North America,qPCR,Molecular,NA,NA,NA,0.25-0.3 g,Animal,Bird,Charadriiformes,Laridae,,,,Seagull,?,Campylobacter,Campylobacter,feces,yes,no,,,6,18,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Hellein et al.,2011,Hellein et al. 2011,yes,Google Scholar,"USA, Florida, Pensacola",yes,North America,qPCR,Molecular,NA,NA,NA,0.25-0.3 g,Animal,Bird,Charadriiformes,Laridae,,,,Seagull,?,Campylobacter coli,Campylobacter coli,feces,yes,no,,,4,18,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Hsu et al.,2015,Hsu et al. 2015,yes,Google Scholar,"USA, Ohio, Columbus, Olentangy River Wetland Research Park",yes,North America,qPCR (CampyF/CampyR/CampyP 287 bp),Molecular,50 cycles (<21 gene copies/ml),NA,NA,NA,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,Free,Campylobacter ,Campylobacter,feces,yes,no,,,ND,44,,NA,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kapperud and Rosef,1983,Kapperud and Rosef 1983,yes,review,"Norway, Oslo and rural",no,Europe,"Microscope, Plate Culture",Conventional,NA,NA,NA,swab variable,Animal,Bird,Charadriiformes,Alcidae,Fratercula,Atlantic puffin,Fratercula arctica,,free,Camplyobacter coli,Campylobacter coli,isolates,yes,no,,,1,40,,NA,,NA,,NA,,,,,,Isolates are based on the number of infected individuals.,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kapperud and Rosef,1983,Kapperud and Rosef 1983,yes,review,"Norway, Oslo and rural",no,Europe,"Microscope, Plate Culture",Conventional,NA,NA,NA,swab variable,Animal,Bird,Charadriiformes,Alcidae,Fratercula,Atlantic puffin,Fratercula arctica,,free,Camplyobacter jejuni,Campylobacter jejuni,isolates,yes,no,,,0,40,,NA,,NA,,NA,,,,,,Isolates are based on the number of infected individuals.,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kapperud and Rosef,1983,Kapperud and Rosef 1983,yes,review,"Norway, Oslo and rural",no,Europe,"Microscope, Plate Culture",Conventional,NA,NA,NA,swab variable,Animal,Bird,Charadriiformes,Alcidae,Fratercula,Atlantic puffin,Fratercula arctica,,free,Camplyobacter NARTC  (nalidixic acid-resistant thermophilic campylobacters),Campylobacter lari,isolates,yes,no,,,39,40,,NA,,NA,,NA,,,,,,Isolates are based on the number of infected individuals.,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kapperud and Rosef,1983,Kapperud and Rosef 1983,yes,review,"Norway, Oslo and rural",no,Europe,"Microscope, Plate Culture",Conventional,NA,NA,NA,swab variable,Animal,Bird,Anseriformes,Anatidae,Bucephala,Common goldeneye,Bucephala clangula,,free,Camplyobacter coli,Campylobacter coli,isolates,yes,no,,,1,1,,NA,,NA,,NA,,,,,,Isolates are based on the number of infected individuals.,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kapperud and Rosef,1983,Kapperud and Rosef 1983,yes,review,"Norway, Oslo and rural",no,Europe,"Microscope, Plate Culture",Conventional,NA,NA,NA,swab variable,Animal,Bird,Anseriformes,Anatidae,Bucephala,Common goldeneye,Bucephala clangula,,free,Camplyobacter jejuni,Campylobacter jejuni,isolates,yes,no,,,0,1,,NA,,NA,,NA,,,,,,Isolates are based on the number of infected individuals.,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
