Common Name Used,Other common names and information,Latin name,kingdom,class,order,family,genius
White-crowned sparrow,,Zonotrichia leucophrys,Animal,Bird,Passeriformes,Passerellidae,Zonotrichia
White-breasted nuthatch,,Sitta carolinensis,Animal,Bird,Passeriformes,Sittidae,Sitta
White-throated sparrow,"White throated warbler, I think that this may have been misidentified since I can't find reference to it in any taxonomic database.",Zonotrichia albicollis,Animal,Bird,Passeriformes,Passerellidae,Zonotrichia
White-throated toucan,,Ramphastos toucanas,Animal,Bird,Piciformes,Ramphastidae,Ramphastos
White-winged dove,,Zenaida asiatica,Animal,Bird,Columbiformes,Columbidae,Zenaida
Wigeon,"Widgeon, are in the same family as ducks.",,Animal,Bird,Anseriformes,Anatidae,
Wild turkey,,Meleagris gallopavo,Animal,Bird,Galliformes,Phasianidae,Meleagris
Willow flycatcher,,Empidonax traillii,Animal,Bird,Passeriformes,Tyrannidae,Empidonax
Willow tit,,"Poecile montanus, Poecile montana, Pants monianus",Animal,Bird,Passeriformes,Paridae,Poecile
Willow warbler,,Phylloscopus trochilus,Animal,Bird,Passeriformes,Phylloscopidae,Phylloscopus
Wilson's warbler,,Cardellina pusilla,Animal,Bird,Passeriformes,Parulidae,Cardellina
Wood duck,Carolina Duck,Cygnus columbianus,,,,,
Wood mouse,"field mouse, long tailed field mouse, European wood mouse",Apodemus sylvaticus,Animal,Mammal,Rodentia,Muridae,Apodemus
Wood pewee,Has been split in to the Eastern wood pewee and Western wood pewee,Contopus,Animal,Bird,Passeriformes,Tyrannidae,Contopus
Wood sandpiper,,Tringa glareola,,,,,
Wood warbler,,Phylloscopus sibilatrix,,,,,
Woodland jumping mouse,,Napaeozapus insignis,Animal,Mammal,Rodentia,Dipodidae,Napaeozapus
woodpecker,wood peckers are part of the family Picidae,Picidae,Animal,Bird,Piciformes,Picidae,
Wren,"Eurasian Wren, Northern wren, wiinter wren.  This one is crazy with a a lot of subspecies","Troglodytes troglodytes, Nannus troglodytes ",Animal,Bird,Passeriformes,Troglodytidae,Troglodytes
Wrentit,,Chamaea fasciata,Animal,Bird,Passeriformes,Sylviidae,Chamaea
Yellow legged gull,"Previously associated with Herring Gull, Lesser Blackbacked.  There was a mix up in Muniesa 1999 it is assumed that the gulls were yellow legged. ","Larus michahellis, (Larus cachinnans)",Animal,Bird,Charadriiformes,Laridae,Larus
Yellow warbler,mangrove warbler,Setophaga petechia,Animal,Bird,Passeriformes,Parulidae,Setophaga
Yellow-bellied marmot,,Marmota flaviventris,Animal,Mammal,Rodentia,Sciuridae,Marmota
Yellowhammer,,Emberiza citrinella,Animal,Bird,Passeriformes,Emberizidae,Emberiza
Yellow-headed blackbird,,Xanthocephalus xanthocephalus,Animal,Bird,Passeriformes,Icteridae,Xanthocephalus
Yellow-margined box turtle,,Cuora flavomarginata,,,,,
Yellow-necked mouse,"Yellow-necked field mouse, yellow-necked wood mouse",Apodemus flavicollis,Animal,Mammal,Rodentia,Muridae,Apodemus
Yellow-rumped warbler,,Setophaga coronata,Animal,Bird,Passeriformes,Parulidae,Setophaga
