Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.name.extra,Free.captive,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Levesque et al.,1993,Levesque et al. 1993,yes,review,"Canada, Quebec",no,North America,"MPN, 5 tube, APHA Method, API 20E Test",Conventional,0.18,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces,no,yes,StatsTotal,no,NA,236,NA,,NA,5200000,NA,NA,NA,NA,NA,NA,CFU/g,Also has data connecting number of birds to concentrations in waters at different depths.,EPA Method 1681,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,3900000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,230000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,43000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,110000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,2300000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,430000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,750000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,430000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,930000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Contrecoeur National Wildlife Area ",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,2400000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,150000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,750000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,1500000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,930000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,230000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,4300000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,120000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,150000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,1200000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Montreal",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,43000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Quebec City",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,230000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Quebec City",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,93000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Quebec City",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,43000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Quebec City",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,43000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Also found trends in concentration based on age and location,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Quebec City",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,>11000000000,NA,NA,NA,NA,1.10E+10,NA,NA,NA,CFU/g,over range,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Levesque et al.,2000,Levesque et al. 2000,yes,review,"Canada, Quebec City",no,North America,"Standard method APHA, 3 tube",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces composite,no,yes,StatsIndiv,yes,NA,1,NA,>11000000000,NA,NA,NA,NA,1.10E+10,NA,NA,NA,CFU/g,over range,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Sieburth, J. M.",1959,"Sieburth, J. M. 1959",yes,review,"Antartica, Hope Bay",no,Antartica,"Plate Count, Standard Method",Conventional,100,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Chionidae,,,,Sheathbill ,free,Total coliform,"intestines content, hunted bird",no,yes,StatsIndiv,yes,NA,1,NA,<100,NA,NA,NA,NA,0,100,NA,NA,CFU/g,Isolates (Aerobacter-Hafnia sp.),Coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Sieburth, J. M.",1959,"Sieburth, J. M. 1959",yes,review,"Antartica, Laurie Island",no,Antartica,"Plate Count, Standard Method",Conventional,100,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Chionidae,,,,Sheathbill ,free,Total coliform,"terminal intestines contents, hunted bird",no,yes,StatsIndiv,yes,NA,1,NA,9500000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,"Isolates (Aerobacter-Hafnia, sp.)",Coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Sieburth, J. M.",1959,"Sieburth, J. M. 1959",yes,review,"Antartica, South Shetland Islands",no,Antartica,"Plate Count, Standard Method",Conventional,100,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Chionidae,,,,Sheathbill ,free,Total coliform,"intestines content, hunted bird",no,yes,StatsIndiv,yes,NA,1,NA,7300000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Isolates (E. coli),Coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Jones and Obiri-Danso,1999,Jones and Obiri-Danso 1999,symposium,review,"UK, Morecambe Bay/Lancaster",no,Europe,"MPN, 3 tube, APHA Standard Method",Conventional,NA,NA,,NA,Animal,Bird,Anseriformes,Anatidae,Tadorna,,Tadorna tadorna,Shelduck ,free,Fecal coliform,feces,no,yes,Stats,no,NA,NA,NA,,NA,7.368,NA,NA,89100,2.14E+08,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Sieburth, J. M.",1959,"Sieburth, J. M. 1959",yes,review,"Antartica, Half Moon Island",no,Antartica,"Plate Count, Standard Method",Conventional,100,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Stercorariidae,Stercorarius,,,Skua,free,Total coliform,"intestines content, hunted gulls",no,yes,StatsIndiv,yes,NA,1,NA,640000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Isolates (E.coli),Coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Sieburth, J. M.",1959,"Sieburth, J. M. 1959",yes,review,"Antartica, Hope Bay",no,Antartica,"Plate Count, Standard Method",Conventional,100,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Stercorariidae,Stercorarius,,,,free,Total coliform,"intestines content, hunted gulls",no,yes,StatsIndiv,yes,NA,1,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Isolates (E.coli),Coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Sieburth, J. M.",1959,"Sieburth, J. M. 1959",yes,review,"Argintina, Ushuaia",no,South America,"Plate Count, Standard Method",Conventional,100,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Stercorariidae,Stercorarius,,,,free,Total coliform,"intestines content, hunted gulls",no,yes,StatsIndiv,yes,NA,1,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,"Isolates (Achromobacter eurydice, Micrococcus ureae)",Coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Sieburth, J. M.",1959,"Sieburth, J. M. 1959",yes,review,"UK, South Sandwich Island",no,Antartica,"Plate Count, Standard Method",Conventional,100,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Stercorariidae,Stercorarius,,,,free,Total coliform,"terminal intestines contents, hunted bird",no,yes,StatsIndiv,yes,NA,1,NA,11000000,NA,NA,NA,NA,NA,NA,NA,NA,CFU/g,Isolates (E. coli and Streptococci),Coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,Standard Method 9222G,Conventional,100,,CFU/g wetweight,1g,Animal,Mammal,Diprotodontia,Macropodidae,,,Wallabia bicolor,Wallaby,free,Fecal coliform,feces,yes,yes,StatsTotal,no,10,10,NA,,NA,NA,NA,650000,600,2.90E+07,NA,NA,CFU/g wet weight,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hussong et al. ,1979,Hussong et al.  1979,yes,review,"USA, Chesapeake Bay",yes,North America,"Plate count, liquid MPN",Conventional,NA,NA,,1g,Animal,Bird,Anseriformes,Anatidae,Cygnus,Tundra Swan,Cygnus columbianus,Whistling Swan ,free,Fecal coliform,feces,yes,yes,StatsTotal,no,24,24,NA,,2500000,NA,1450000,NA,NA,NA,NA,NA,bacteria/g feces,From Weiskel et. al. 1962,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,Standard Method 9222G,Conventional,100,,CFU/g wetweight,1g,Animal,Bird,Anseriformes,Anatidae,Chenonetta,Mained duck,Chenonetta jubata,,free,Fecal coliform,feces,yes,yes,StatsTotal,yes,8,9,NA,,NA,NA,NA,8100,NA,69000,NA,NA,CFU/g wet weight,,,NA,NA,0,100,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Fecal coliform,feces (from caecum),yes,yes,StatsTotal,no,23,23,1,,NA,1.40E+07,170000000,NA,1,4.60E+08,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Total coliform,feces (from caecum),yes,yes,StatsTotal,no,23,23,1,,NA,1.70E+07,120000000,NA,5.00E+05,4.20E+08,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Fecal coliform,feces (from caecum),yes,yes,Semiquantitative,no,2,23,NA,,NA,NA,NA,NA,1.00E+05,1.00E+06,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Fecal coliform,feces (from caecum),yes,yes,Semiquantitative,no,1,23,NA,,NA,NA,NA,NA,1.00E+06,1.00E+07,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Fecal coliform,feces (from caecum),yes,yes,Semiquantitative,no,15,23,NA,,NA,NA,NA,NA,1.00E+07,1.00E+08,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Fecal coliform,feces (from caecum),yes,yes,Semiquantitative,no,5,23,NA,,NA,NA,NA,NA,1.00E+08,1.00E+09,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Total coliform,feces (from caecum),yes,yes,Semiquantitative,no,4,23,NA,,NA,NA,NA,NA,1.00E+06,1.00E+07,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Total coliform,feces (from caecum),yes,yes,Semiquantitative,no,5,23,NA,,NA,NA,NA,NA,1.00E+07,1.00E+08,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Muniesa et al. ,1999,Muniesa et al.  1999,yes,review,"Spain, Catalonia, Nortern coast",no,Europe,"Culture, Standard Methods",Conventional,NA,NA,,variable (1:5 dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Yellow-legged gull ,Larus cachinnans,,free,Total coliform,feces (from caecum),yes,yes,Semiquantitative,no,14,23,NA,,NA,NA,NA,NA,1.00E+08,1.00E+09,NA,NA,CFU/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
