Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.name.extra,Free.captive,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Wood and Trust,1972,Wood and Trust 1972,yes,review,"Canada, British Coloumbia, Baeria Rocks",no,North America,"MPN, Standard Method APHA",Conventional,1000,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Glaucous-winged gull,Larus glaucescens,,free,Fecal coliform,intestines content,no,yes,StatsTotal,yes,NA,13,NA,,NA,NA,NA,NA,NA,8300000,NA,NA,MPN/g,min. less than 0.1E4,,NA,NA,0,1000,NA,NA,NA,NA,High,3
Wood and Trust,1972,Wood and Trust 1972,yes,review,"Canada, British Coloumbia, Mary Todd Island",no,North America,"MPN, Standard Method APHA",Conventional,1000,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Glaucous-winged gull,Larus glaucescens,,free,Fecal coliform,intestines content,no,yes,StatsTotal,no,NA,33,NA,,1700000,NA,NA,NA,5000,5200000,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Wood and Trust,1972,Wood and Trust 1972,yes,review,"Canada, British Coloumbia, Baeria Rocks",no,North America,"Plate Count, Standard Method APHA",Conventional,1000,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Glaucous-winged gull,Larus glaucescens,,free,Total coliform,intestines content,no,yes,StatsTotal,no,NA,13,NA,,680000,NA,NA,NA,1000,4100000,NA,NA,CFU/g,,Coliform,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Wood and Trust,1972,Wood and Trust 1972,yes,review,"Canada, British Coloumbia, Mary Todd Island",no,North America,"Plate Count, Standard Method APHA",Conventional,1000,NA,CFU/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Glaucous-winged gull,Larus glaucescens,,free,Total coliform,intestines content,no,yes,StatsTotal,no,NA,33,NA,,1700000,NA,NA,NA,20000,7700000,NA,NA,CFU/g,,Coliform,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Jones and Obiri-Danso,1999,Jones and Obiri-Danso 1999,symposium,review,"UK, Morecambe Bay/Lancaster",no,Europe,"MPN, 3 tube, APHA Standard Method",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,,,Laridae,,free,Fecal coliform,feces,no,yes,Stats,no,NA,NA,NA,,NA,17500000,NA,NA,2360000,32400000,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Jones and Obiri-Danso,1999,Jones and Obiri-Danso 1999,symposium,review,"UK, Morecambe Bay/Lancaster",no,Europe,"MPN, 3 tube, APHA Standard Method",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Laridae,,,Laridae,,free,Fecal coliform,feces,no,yes,Stats,yes,NA,NA,NA,,NA,1.00E+10,NA,NA,NA,NA,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Gould and Fletch,1978,Gould and Fletch 1978,yes,review,"UK,  garbage dump",no,Europe,"MPN, broth culture, standard method",Conventional,NA,,CFU/g wetweight,,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,1 year captivity,Total coliform,feces,no,yes,StatsTotal,no,NA,39,NA,,29142857.14,NA,NA,NA,860000,4.60E+07,NA,NA,CFU/gram,Assuming minimum and maximumu based on Table 3 based on feces type.,Also has information on NP,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Gould and Fletch,1978,Gould and Fletch 1978,yes,review,"UK,  garbage dump",no,Europe,"MPN, broth culture, standard method",Conventional,NA,,CFU/g wetweight,,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,1 year captivity,Total coliform,feces,no,yes,StatsTotal,no,NA,34,NA,,70682730.92,NA,NA,NA,560000,3.15E+08,NA,NA,CFU/gram,Assuming minimum and maximumu based on Table 3 based on feces type.,Also has information on NP,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,0,1,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,1,10,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
