Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Passeriformes,Hirundinidae,Petrochelidon,Cliff swallow,Petrochelidon pyrrhonota,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,25,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,57,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium Deer mouse genotypes I and II ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium meleagridis ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium W17,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium W4,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium W1 and deer mouse genotypes I and II ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,2,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium Deer mouse genotype,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,10,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium W1,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,20,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus sp.,,free,Cryptosporidium W3,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,21,177,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Double-crested cormorant,Phalacrocorax auritus,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,5,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmunk,Tamias striatus,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,4,7,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmunk,Tamias striatus,,free,Cryptosporidium Chipmunk II,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,7,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmunk,Tamias striatus,,free,Cryptosporidium W17 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,7,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Tamias,Eastern chipmunk,Tamias striatus,,free,Cryptosporidium W4 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,2,7,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eastern gray squirrel,Sciurus carolinensis,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,12,33,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eastern gray squirrel,Sciurus carolinensis,,free,Cryptosporidium muris,Cryptosporidium muris,"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,33,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eastern gray squirrel,Sciurus carolinensis,,free,Cryptosporidium W13 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,33,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eastern gray squirrel,Sciurus carolinensis,,free,Cryptosporidium W17 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,33,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eastern gray squirrel,Sciurus carolinensis,,free,Cryptosporidium W4 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,3,33,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eastern gray squirrel,Sciurus carolinensis,,free,Cryptosporidium W1 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,5,33,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eastern gray squirrel,Sciurus carolinensis,,free,Cryptosporidium parvum ,Cryptosporidium parvum,"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,33,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eurasian red squirrel,Sciurus vulgaris ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,2,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Sciurus,Eurasian red squirrel,Sciurus vulgaris ,,free,Cryptosporidium W4 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,2,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Charadriiformes,Laridae,Larus,Great black-backed gull,Larus marinus ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Marmota,Groundhog,Marmota monax ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,5,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Marmota,Groundhog,Marmota monax ,,free,Cryptosporidium W4 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,5,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,8,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Microtus,Meadow vole,Microtus pennsylvanicus,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,3,10,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Microtus,Meadow vole,Microtus pennsylvanicus,,free,Cryptosporidium W15,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,10,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Microtus,Meadow vole,Microtus pennsylvanicus,,free,Cryptosporidium W16,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,2,10,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Ondatra,Muskrat,Ondatrini zibethicus,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Ondatra,Muskrat,Ondatrini zibethicus,,free,Cryptosporidium W7,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Castoridae,Castor,North american beaver,Castor canadensis ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,3,16,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Castoridae,Castor,North american beaver,Castor canadensis ,,free,Cryptosporidium Beaver genotype,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,16,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Castoridae,Castor,North american beaver,Castor canadensis ,,free,Cryptosporidium W4 ,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,2,16,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Erethizontidae,Erethizon,Porcupine,Erethizon dorsatum,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,4,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Procyonidae,Procyon,Raccoon,Procyon lotor,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,4,21,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Procyonidae,Procyon,Raccoon,Procyon lotor,,free,Cryptosporidium W4,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,21,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Procyonidae,Procyon,Raccoon,Procyon lotor,,free,Cryptosporidium W13,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,3,21,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,8,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Mustelidae,Lontra,North american river otter,Lontra canadensis ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,8,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Mustelidae,Lontra,North american river otter,Lontra canadensis ,,free,Cryptosporidium W13,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,8,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Soricomorpha,Soricidae,Blarina,Short-tailed shrew,Blarina brevicauda,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,2,5,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Soricomorpha,Soricidae,Blarina,Short-tailed shrew,Blarina brevicauda,,free,Cryptosporidium W2,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,2,5,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Passeriformes,Passerellidae,Melospiza,Song sparrow,Melospiza melodia ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Sciuridae,Glaucomys,Southern flying squirrel,Glaucomys volans ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Myodes,Southern red-backed vole,Myodes gapperi,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,4,5,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Cricetidae,Myodes,Southern red-backed vole,Myodes gapperi,,free,Cryptosporidium W7,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,4,5,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Mephitidae,Mephitis,Striped skunk,Mephitis mephitis ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,2,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Didelphimorphia,Didelphidae,Didelphis,Virginia opossum,Didelphis virginiana,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,9,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
