Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,immunomagnetic separation with microscope count,Conventional,15,NA,oocyst/g,0.5g,Animal,Mammal,Rodentia,Muridae,Rattus,Australian bush rat,Rattus fuscipes,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,StatsTotal,yes,0,4,,NA,,NA,,<15,<15,<15,,,oocysts/g wet weight,29-69% recovery,MDL based on lowest recovery,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,immunomagnetic separation with microscope count,Conventional,15,NA,oocyst/g,0.5g,Animal,Mammal,Dasyuromorphia,Dasyuridae,Antechinus,Brown antechinus,Antechinus stuartii,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,StatsTotal,yes,0,3,,NA,,NA,,<15,<15,<15,,,oocysts/g wet weight,8-11% recovery,MDL based on lowest recovery,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,immunomagnetic separation with microscope count,Conventional,15,NA,oocyst/g,0.5g,Animal,Mammal,Carnivora,Felidae,Felis,Cat,Felis catus,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,StatsTotal,yes,0,1,,NA,,NA,,<15,,,,,oocysts/g wet weight,51% recovery,MDL based on lowest recovery,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,immunomagnetic separation with microscope count,Conventional,15,NA,oocyst/g,0.5g,Animal,Mammal,Carnivora,Felidae,Felis,Cat,Felis catus,,free,Cryptosporidium,Cryptosporidium,feces,yes,yes,StatsTotal,yes,3,7,,NA,,NA,,<15,<15,17,,,oocysts/g wet weight,59-93% recovery,MDL based on lowest recovery,0,15,0,15,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,immunomagnetic separation with microscope count,Conventional,15,NA,oocyst/g,0.5g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,free,Cryptosporidium,Cryptosporidium,feces,yes,yes,StatsTotal,yes,2,2,,NA,,NA,,54,20,89,,,oocysts/g wet weight,41-61% recovery,MDL based on lowest recovery,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,immunomagnetic separation with microscope count,Conventional,15,NA,oocyst/g,0.5g,Animal,Bird,Anseriformes,Anatidae,Chenonetta,Mained duck,Chenonetta jubata,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,StatsTotal,yes,0,9,,NA,,NA,,<15,<15,<15,,,oocysts/g wet weight,27-68% recovery,MDL based on lowest recovery,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,immunomagnetic separation with microscope count,Conventional,15,NA,oocyst/g,0.5g,Animal,Mammal,Diprotodontia,Macropodidae,Wallabia,Swamp wallaby,Wallabia bicolor,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,StatsTotal,yes,0,10,,NA,,NA,,<15,<15,<15,,,oocysts/g wet weight,32-87%,MDL based on lowest recovery,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Falconiformes,Falconidae,Falco,Common kestrel,Falco tinninculus,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,3,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Anseriformes,Anatidae,Tadorna,Common shelduck,Tadorna tadorna,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,3,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Columbiformes,Columbinae,Columba,Common wood pigeon,Columba palumbus,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
